Lag,q,Moment,Observations,Table,Population
80,4.0,1.4537586359964119,5053229,equity_parkinson_variance,global
81,1.0,0.551154253957171,5055427,equity_parkinson_variance,global
81,1.5,0.5115691681379503,5055427,equity_parkinson_variance,global
81,2.0,0.5276897167261,5055427,equity_parkinson_variance,global
81,3.0,0.7387762173661966,5055427,equity_parkinson_variance,global
81,4.0,1.4388221345985455,5055427,equity_parkinson_variance,global
82,1.0,0.5527553336241969,5229665,equity_parkinson_variance,global
82,1.5,0.5132440046931862,5229665,equity_parkinson_variance,global
82,2.0,0.5292228466022326,5229665,equity_parkinson_variance,global
82,3.0,0.7390983656916328,5229665,equity_parkinson_variance,global
82,4.0,1.435200964554067,5229665,equity_parkinson_variance,global
83,1.0,0.5523484083792869,7011201,equity_parkinson_variance,global
83,1.5,0.5128583262834158,7011201,equity_parkinson_variance,global
83,2.0,0.5289544219912872,7011201,equity_parkinson_variance,global
83,3.0,0.7393691753291481,7011201,equity_parkinson_variance,global
83,4.0,1.436423283581228,7011201,equity_parkinson_variance,global
84,1.0,0.550644706383967,8632981,equity_parkinson_variance,global
84,1.5,0.5106519852084935,8632981,equity_parkinson_variance,global
84,2.0,0.5261815679612906,8632981,equity_parkinson_variance,global
84,3.0,0.7351326938515004,8632981,equity_parkinson_variance,global
84,4.0,1.431016770494297,8632981,equity_parkinson_variance,global
85,1.0,0.5522528465739927,7004424,equity_parkinson_variance,global
85,1.5,0.5125937707169167,7004424,equity_parkinson_variance,global
85,2.0,0.5284703609845662,7004424,equity_parkinson_variance,global
85,3.0,0.7385249707750845,7004424,equity_parkinson_variance,global
85,4.0,1.4369875977080342,7004424,equity_parkinson_variance,global
86,1.0,0.5522341298385353,5216918,equity_parkinson_variance,global
86,1.5,0.5125531860051266,5216918,equity_parkinson_variance,global
86,2.0,0.5284677496847963,5216918,equity_parkinson_variance,global
86,3.0,0.7391838838760353,5216918,equity_parkinson_variance,global
86,4.0,1.441462274879138,5216918,equity_parkinson_variance,global
87,1.0,0.5515349624193294,5040502,equity_parkinson_variance,global
87,1.5,0.5119545836637337,5040502,equity_parkinson_variance,global
87,2.0,0.5281713273283185,5040502,equity_parkinson_variance,global
87,3.0,0.7402712361545685,5040502,equity_parkinson_variance,global
